hit,ID,group,name,image,rows,cols,nonzeros,kind
70,1585,Schenk_AFE,af_5_k101,,503625,503625,17550675,structural problem
71,1670,Mittelmann,neos,,479119,515905,1526794,linear programming problem
72,1297,GHS_indef,boyd2,,466316,466316,1500397,optimization problem
73,914,vanHeukelum,cage13,,445315,445315,7479343,directed weighted graph
74,1893,QLi,largebasis,,440020,440020,5240084,optimization problem
75,1644,INPRO,msdoor,,415863,415863,19173163,structural problem
76,1370,Rajat,rajat21,,411676,411676,1876011,circuit simulation problem
77,982,Tromble,language,,399130,399130,1216334,directed weighted graph
78,1236,GHS_indef,helm2d03,,392257,392257,2741935,2D/3D problem
79,1232,GHS_indef,darcy003,,389874,389874,2097566,2D/3D problem
80,1241,GHS_indef,mario002,,389874,389874,2097566,duplicate 2D/3D problem
81,2337,Fluorem,RM07R,,381689,381689,37464962,computational fluid dynamics problem
82,1373,Rajat,rajat24,,358172,358172,1946979,circuit simulation problem
83,1662,Mittelmann,watson_2,,352013,677224,1846391,linear programming problem
84,1579,Schenk_IBMNA,c-big,,345241,345241,2340859,optimization problem
85,1411,Koutsovasilis,F1,,343791,343791,26837113,structural problem
86,1860,Springer,ESOC,,327062,37830,6019939,least squares problem
87,1417,Sandia,ASIC_320k,,321821,321821,1931828,circuit simulation problem
88,1418,Sandia,ASIC_320ks,,321671,321671,1316085,circuit simulation problem
89,1353,PARSEC,Ga41As41H72,,268096,268096,18488476,theoretical/quantum chemistry problem
90,1863,Rajat,Raj1,,263743,263743,1300261,circuit simulation problem
91,2283,Um,offshore,,259789,259789,4242673,electromagnetics problem
92,898,Norris,torso3,,259156,259156,4429042,2D/3D problem
93,1213,Lin,Lin,,256000,256000,1766400,structural problem
94,1850,BenElechi,BenElechi1,,245874,245874,13150496,2D/3D problem
95,1513,Pajek,patents_main,,240547,240547,560943,directed weighted graph
96,1364,PARSEC,Si87H76,,240369,240369,10661631,theoretical/quantum chemistry problem
97,2248,Yoshiyasu,image_interp,,240000,120000,711683,computer graphics/vision problem
98,2249,Yoshiyasu,mesh_deform,,234023,9393,853829,computer graphics/vision problem
99,1219,GHS_indef,bmw3_2,,227362,227362,11288630,structural problem
100,2534,IPSO,HTC_336_4438,,226340,226340,783496,power network problem
101,2535,IPSO,HTC_336_9129,,226340,226340,762969,power network problem
102,1349,PARSEC,CO,,221119,221119,7666057,theoretical/quantum chemistry problem
103,1266,GHS_psdef,hood,,220542,220542,9895422,structural problem
104,369,Boeing,pwtk,,217918,217918,11524432,structural problem
105,895,Norris,stomach,,213360,213360,3021648,2D/3D problem
106,2376,Williams,mac_econ_fwd500,,206500,206500,1273389,economic problem
107,2259,Botonakis,thermomech_dM,,204316,204316,1423116,thermal problem
108,2260,Botonakis,thermomech_dK,,204316,204316,2846228,thermal problem
109,1661,Mittelmann,watson_1,,201155,386992,1055093,linear programming problem
110,1251,GHS_indef,turon_m,,189924,189924,1690876,2D/3D problem
111,1875,HVDC,hvdc2,,189860,189860,1339638,power network problem
112,1362,PARSEC,Si41Ge41H72,,185639,185639,15011265,theoretical/quantum chemistry problem
113,1812,Meszaros,degme,,185501,659415,8127528,linear programming problem
114,1231,GHS_indef,d_pretok,,182730,182730,1641672,2D/3D problem
115,971,Schenk_ISEI,ohne2,,181343,181343,6869939,semiconductor device problem
116,1301,GHS_indef,cont-300,,180895,180895,988195,optimization problem
117,1280,DNVS,shipsec5,,179860,179860,4598604,structural problem
118,2275,Freescale,transient,,178866,178866,961368,circuit simulation problem
119,544,Hamm,scircuit,,170998,170998,958936,circuit simulation problem
120,953,Schenk_IBMNA,c-73,,169422,169422,1279274,optimization problem sequence
121,1590,Schenk_IBMNA,c-73b,,169422,169422,1279274,subsequent optimization problem
122,2336,Fluorem,PR02R,,161070,161070,8185136,computational fluid dynamics problem
123,1858,QLi,crashbasis,,160000,160000,1750416,optimization problem
124,1859,QLi,majorbasis,,160000,160000,1750416,optimization problem
125,802,Ronis,xenon2,,157464,157464,3866688,materials problem
126,972,Schenk_ISEI,para-10,,155924,155924,2094873,subsequent semiconductor device problem
127,974,Schenk_ISEI,para-5,,155924,155924,2094873,semiconductor device problem sequence
128,975,Schenk_ISEI,para-6,,155924,155924,2094873,subsequent semiconductor device problem
129,976,Schenk_ISEI,para-7,,155924,155924,2094873,subsequent semiconductor device problem
130,977,Schenk_ISEI,para-8,,155924,155924,2094873,subsequent semiconductor device problem
131,978,Schenk_ISEI,para-9,,155924,155924,2094873,subsequent semiconductor device problem
132,1367,PARSEC,SiO2,,155331,155331,11283503,theoretical/quantum chemistry problem
133,973,Schenk_ISEI,para-4,,153226,153226,2930882,semiconductor device problem
134,1412,AMD,G2_circuit,,150102,150102,726674,circuit simulation problem
135,1254,GHS_psdef,bmwcra_1,,148770,148770,10641602,structural problem
136,1852,Botonakis,FEM_3D_thermal2,,147900,147900,3489300,thermal problem
137,1849,UTEP,Dubcova3,,146689,146689,3636643,2D/3D problem
138,1814,Meszaros,tp-6,,142752,1014301,11537419,linear programming problem
139,1253,GHS_psdef,bmw7st_1,,141347,141347,7318399,structural problem
140,1279,DNVS,shipsec1,,140874,140874,3568176,structural problem
141,1351,PARSEC,Ga19As19H42,,133123,133123,8884839,theoretical/quantum chemistry problem
142,913,vanHeukelum,cage12,,130228,130228,2032536,directed weighted graph
143,1454,Oberwolfach,boneS01,,127224,127224,5516602,model reduction problem
144,960,Schenk_IBMSDS,matrix-new_3,,125329,125329,893984,semiconductor device problem
145,805,Rothberg,cfd2,,123440,123440,3085406,computational fluid dynamics problem
146,1278,DNVS,ship_003,,121728,121728,3777036,structural problem
147,2378,Williams,cop20k_A,,121192,121192,2624331,2D/3D problem
148,286,ATandT,twotone,,120750,120750,1206265,frequency-domain circuit simulation problem
149,2228,TSOPF,TSOPF_FS_b39_c30,,120216,120216,3121160,power network problem
150,1320,IBM_EDA,dc1,,116835,116835,766396,circuit simulation problem sequence
151,1321,IBM_EDA,dc2,,116835,116835,766396,subsequent circuit simulation problem
152,1322,IBM_EDA,dc3,,116835,116835,766396,subsequent circuit simulation problem
153,1323,IBM_EDA,trans4,,116835,116835,749800,circuit simulation problem sequence
154,1324,IBM_EDA,trans5,,116835,116835,749800,subsequent circuit simulation problem
155,896,Norris,torso1,,116158,116158,8516500,2D/3D problem
156,897,Norris,torso2,,115967,115967,1033473,2D/3D problem
157,961,Schenk_ISEI,barrier2-10,,115625,115625,2158759,subsequent semiconductor device problem
158,962,Schenk_ISEI,barrier2-11,,115625,115625,2158759,subsequent semiconductor device problem
159,963,Schenk_ISEI,barrier2-12,,115625,115625,2158759,subsequent semiconductor device problem
160,968,Schenk_ISEI,barrier2-9,,115625,115625,2158759,semiconductor device problem sequence
161,1281,DNVS,shipsec8,,114919,114919,3303553,structural problem
162,1350,PARSEC,Ga10As10H30,,113081,113081,6115633,theoretical/quantum chemistry problem
163,964,Schenk_ISEI,barrier2-1,,113076,113076,2129496,semiconductor device problem sequence
164,965,Schenk_ISEI,barrier2-2,,113076,113076,2129496,subsequent semiconductor device problem
165,966,Schenk_ISEI,barrier2-3,,113076,113076,2129496,subsequent semiconductor device problem
166,967,Schenk_ISEI,barrier2-4,,113076,113076,2129496,subsequent semiconductor device problem
167,1355,PARSEC,Ge87H76,,112985,112985,7892195,theoretical/quantum chemistry problem
168,1356,PARSEC,Ge99H100,,112985,112985,8451395,theoretical/quantum chemistry problem
169,1855,Watson,Baumann,,112211,112211,748331,2D/3D problem
170,1372,Rajat,rajat23,,110355,110355,555441,circuit simulation problem
171,894,Norris,lung2,,109460,109460,492564,computational fluid dynamics problem
172,1290,DNVS,x104,,108384,108384,8713602,structural problem
173,1431,Oberwolfach,filter3D,,106437,106437,2707179,model reduction problem
174,542,Hamm,hcircuit,,105676,105676,513072,circuit simulation problem
175,959,Schenk_IBMSDS,matrix_9,,103430,103430,1205518,semiconductor device problem
176,2257,Botonakis,thermomech_TC,,102158,102158,711558,thermal problem
177,2258,Botonakis,thermomech_TK,,102158,102158,711558,thermal problem
178,1919,Um,2cubes_sphere,,101492,101492,1647264,electromagnetics problem
179,1415,Sandia,ASIC_100k,,99340,99340,940621,circuit simulation problem
180,1416,Sandia,ASIC_100ks,,99190,99190,578890,circuit simulation problem
181,1269,DNVS,m_t1,,97578,97578,9753570,structural problem
182,1361,PARSEC,Si34H36,,97569,97569,5156379,theoretical/quantum chemistry problem
183,1343,Rajat,rajat16,,94294,94294,476766,circuit simulation problem
184,1344,Rajat,rajat17,,94294,94294,479246,circuit simulation problem
185,1345,Rajat,rajat18,,94294,94294,479151,circuit simulation problem
186,1296,GHS_indef,boyd1,,93279,93279,1211231,optimization problem
187,1275,GHS_psdef,s3dkq4m2,,90449,90449,4427725,structural problem
188,1276,GHS_psdef,s3dkt3m2,,90449,90449,3686223,structural problem
189,1892,Castrillon,denormal,,89400,89400,1156224,counter-example problem
190,1244,GHS_indef,olesnik0,,88263,88263,744216,2D/3D problem
191,1307,GHS_indef,ncvxqp7,,87500,87500,574962,optimization problem
192,1374,Rajat,rajat25,,87190,87190,606489,circuit simulation problem
193,1377,Rajat,rajat28,,87190,87190,606489,circuit simulation problem
194,1369,Rajat,rajat20,,86916,86916,604299,circuit simulation problem
195,928,FEMLAB,poisson3Db,,85623,85623,2374949,computational fluid dynamics problem
196,290,Averous,epb3,,84617,84617,463625,thermal problem
197,2226,TSOPF,TSOPF_FS_b300_c3,,84414,84414,13135930,power network problem
198,1229,GHS_indef,c-72,,84064,84064,707546,optimization problem
199,2374,Williams,consph,,83334,83334,6010480,2D/3D problem
200,1402,Schmid,thermal1,,82654,82654,574458,thermal problem
201,2261,MaxPlanck,shallow_water1,,81920,81920,327680,computational fluid dynamics problem
202,2262,MaxPlanck,shallow_water2,,81920,81920,327680,computational fluid dynamics problem
203,1422,GHS_psdef,apache1,,80800,80800,542184,structural problem
204,1300,GHS_indef,cont-201,,80595,80595,438795,optimization problem
205,373,Bomhof,circuit_4,,80209,80209,307604,circuit simulation problem
206,1291,GHS_indef,a0nsdsil,,80016,80016,355034,optimization problem
207,1292,GHS_indef,a2nnsnsl,,80016,80016,347222,optimization problem
208,1445,Oberwolfach,rail_79841,,79841,79841,553921,model reduction problem
209,1208,Oberwolfach,t3dh_a,,79171,79171,4352105,duplicate model reduction problem
210,1209,Oberwolfach,t3dh_e,,79171,79171,4352105,duplicate model reduction problem
211,1450,Oberwolfach,t3dh,,79171,79171,4352105,model reduction problem
212,1228,GHS_indef,c-71,,76638,76638,859520,optimization problem
213,809,Shyy,shyy161,,76480,76480,329762,computational fluid dynamics problem
214,2227,TSOPF,TSOPF_FS_b39_c19,,76216,76216,1977600,power network problem
215,1305,GHS_indef,ncvxqp3,,75000,75000,499964,optimization problem
216,752,Mulvey,finan512,,74752,74752,596992,economic problem
217,1270,GHS_psdef,oilpan,,73752,73752,2148558,structural problem
218,2264,Clark,tomographic1,,73159,59498,647495,computer graphics/vision problem
219,939,ND,nd24k,,72000,72000,28715634,2D/3D problem
220,903,Pereyra,landmark,,71952,2704,1146848,least squares problem
221,1861,Koutsovasilis,F2,,71505,71505,5294285,structural problem
222,804,Rothberg,cfd1,,70656,70656,1825580,computational fluid dynamics problem
223,750,Mallya,lhr71,,70304,70304,1494006,chemical process simulation problem
224,751,Mallya,lhr71c,,70304,70304,1528092,chemical process simulation problem
225,1227,GHS_indef,c-70,,68924,68924,658986,optimization problem
226,541,Hamm,bcircuit,,68902,68902,375558,circuit simulation problem
227,1332,Toledo,deltaX,,68600,21961,247424,counter-example problem
228,1867,Muite,Chebyshev4,,68121,68121,5377761,structural problem
229,1238,GHS_indef,k1_san,,67759,67759,559774,2D/3D problem
230,1226,GHS_indef,c-69,,67458,67458,623914,optimization problem
231,1399,Raju,laminar_duct3D,,67173,67173,3788857,computational fluid dynamics problem
232,1357,PARSEC,H2O,,67024,67024,2216736,theoretical/quantum chemistry problem
233,1434,Oberwolfach,gas_sensor,,66917,66917,1703365,model reduction problem
234,1809,Meszaros,stormg2-125,,66185,172431,433256,linear programming problem
235,844,Cunningham,qa8fk,,66127,66127,1660579,acoustics problem
236,845,Cunningham,qa8fm,,66127,66127,1660579,acoustics problem
237,1317,Bydder,mri1,,65536,147456,589824,computer graphics/vision problem
238,1848,UTEP,Dubcova2,,65025,65025,1030225,2D/3D problem
239,1225,GHS_indef,c-68,,64810,64810,565996,optimization problem
240,592,Hollinger,mark3jac140,,64089,64089,376395,economic problem
241,593,Hollinger,mark3jac140sc,,64089,64089,376395,economic problem
242,1258,GHS_psdef,crankseg_2,,63838,63838,14148858,structural problem
243,1318,Bydder,mri2,,63240,147456,569160,computer graphics/vision problem
244,1306,GHS_indef,ncvxqp5,,62500,62500,424966,optimization problem
245,2375,Williams,cant,,62451,62451,4007383,2D/3D problem
246,820,Simon,venkat01,,62424,62424,1717792,computational fluid dynamics problem sequence
247,821,Simon,venkat25,,62424,62424,1717763,subsequent computational fluid dynamics problem
248,822,Simon,venkat50,,62424,62424,1717777,subsequent computational fluid dynamics problem
249,1352,PARSEC,Ga3As3H12,,61349,61349,5970947,theoretical/quantum chemistry problem
250,1354,PARSEC,GaAsH6,,61349,61349,3381809,theoretical/quantum chemistry problem
251,1880,Rudnyi,water_tank,,60740,60740,2035281,computational fluid dynamics problem
252,2241,TSOPF,TSOPF_RS_b39_c30,,60098,60098,1079986,power network problem
253,1294,GHS_indef,blockqp1,,60012,60012,640033,optimization problem
254,1293,GHS_indef,a5esindl,,60008,60008,255004,optimization problem
255,1302,GHS_indef,dixmaanl,,60000,60000,299998,optimization problem
256,566,Hollinger,g7jac200,,59310,59310,717620,economic problem
257,567,Hollinger,g7jac200sc,,59310,59310,717620,economic problem
258,952,Schenk_IBMNA,c-67,,57975,57975,530229,optimization problem sequence
259,1589,Schenk_IBMNA,c-67b,,57975,57975,530583,subsequent optimization problem
260,452,Grund,bayer01,,57735,57735,275094,chemical process simulation problem
261,2225,TSOPF,TSOPF_FS_b300_c2,,56814,56814,8767466,power network problem
262,1230,GHS_indef,copter2,,55476,55476,759952,computational fluid dynamics problem
263,590,Hollinger,mark3jac120,,54929,54929,322483,economic problem
264,591,Hollinger,mark3jac120sc,,54929,54929,322483,economic problem
265,761,Nasa,nasasrb,,54870,54870,2677324,structural problem
266,955,Schenk_IBMSDS,2D_54019_highK,,54019,54019,486129,semiconductor device problem
267,564,Hollinger,g7jac180,,53370,53370,641290,economic problem
268,565,Hollinger,g7jac180sc,,53370,53370,641290,economic problem
269,1257,GHS_psdef,crankseg_1,,52804,52804,10614210,structural problem
270,356,Boeing,ct20stif,,52329,52329,2600295,structural problem
271,983,Sanghavi,ecl32,,51993,51993,380415,semiconductor device problem
272,1233,GHS_indef,dawson5,,51537,51537,1010777,structural problem
273,957,Schenk_IBMSDS,3D_51448_3D,,51448,51448,537038,semiconductor device problem
274,958,Schenk_IBMSDS,ibm_matrix_2,,51448,51448,537038,semiconductor device problem
275,950,Schenk_IBMNA,c-64,,51035,51035,707985,optimization problem sequence
276,1587,Schenk_IBMNA,c-64b,,51035,51035,707601,subsequent optimization problem
277,1375,Rajat,rajat26,,51032,51032,247528,circuit simulation problem
278,1304,GHS_indef,ncvxbqp1,,50000,50000,349968,optimization problem
279,1308,GHS_indef,sparsine,,50000,50000,1548988,structural problem
280,1310,GHS_psdef,cvxbqp1,,50000,50000,349968,optimization problem
281,951,Schenk_IBMNA,c-66,,49989,49989,444853,optimization problem sequence
282,1588,Schenk_IBMNA,c-66b,,49989,49989,444851,subsequent optimization problem
283,1413,IBM_EDA,ckt11752_dc_1,,49702,49702,333029,circuit simulation problem
284,1414,IBM_EDA,ckt11752_tr_0,,49702,49702,332807,circuit simulation problem
285,1246,GHS_indef,stokes128,,49666,49666,558594,computational fluid dynamics problem
286,1311,GHS_psdef,gridgena,,48962,48962,512084,optimization problem
287,801,Ronis,xenon1,,48600,48600,1181120,materials problem
288,1667,Mittelmann,fome13,,48568,97840,285056,linear programming problem
289,1578,Schenk_IBMNA,c-65,,48066,48066,360428,optimization problem
290,562,Hollinger,g7jac160,,47430,47430,564952,economic problem
291,563,Hollinger,g7jac160sc,,47430,47430,564952,economic problem
292,1287,GHS_psdef,vanbody,,47072,47072,2329056,structural problem
293,1890,NYPA,Maragal_7,,46845,26564,1200537,least squares problem
294,374,Bova,rma10,,46835,46835,2329092,computational fluid dynamics problem
295,349,Boeing,bcsstm39,,46772,46772,46772,structural problem
296,846,Boeing,bcsstk39,,46772,46772,2060662,structural problem
297,1813,Meszaros,karted,,46502,133115,1770349,linear programming problem
298,588,Hollinger,mark3jac100,,45769,45769,268563,economic problem
299,589,Hollinger,mark3jac100sc,,45769,45769,268563,economic problem
300,2282,Belcastro,mouse_gene,,45101,45101,28967291,undirected weighted graph
301,1224,GHS_indef,c-63,,44234,44234,434704,optimization problem
302,2536,IPSO,OPF_10000,,43887,43887,426898,power network problem
303,1576,Schenk_IBMNA,c-60,,43640,43640,298570,optimization problem
304,1577,Schenk_IBMNA,c-61,,43618,43618,310016,optimization problem
305,932,FEMLAB,sme3Dc,,42930,42930,3148656,structural problem
306,2239,TSOPF,TSOPF_RS_b300_c3,,42138,42138,4413449,power network problem
307,949,Schenk_IBMNA,c-62,,41731,41731,559341,optimization problem sequence
308,1223,GHS_indef,c-62ghs,,41731,41731,559339,subsequent optimization problem
309,560,Hollinger,g7jac140,,41490,41490,488633,economic problem
310,561,Hollinger,g7jac140sc,,41490,41490,488633,economic problem
311,578,Hollinger,jan99jac120,,41374,41374,229385,economic problem
312,579,Hollinger,jan99jac120sc,,41374,41374,229385,economic problem
313,1806,Meszaros,fxm3_16,,41340,85575,392252,linear programming problem
314,1222,GHS_indef,c-59,,41282,41282,480536,optimization problem
315,827,Vavasis,av41092,,41092,41092,1683902,2D/3D problem
316,1313,GHS_psdef,minsurfo,,40806,40806,203622,optimization problem
317,2223,TSOPF,TSOPF_FS_b162_c4,,40798,40798,2398220,power network problem
318,2395,Newman,cond-mat-2005,,40421,40421,351382,undirected weighted graph
319,1854,Watson,chem_master1,,40401,40401,201201,2D/3D problem
320,2345,Rommes,bauru5727,,40366,40366,145019,eigenvalue/model reduction problem
321,2344,Rommes,juba40k,,40337,40337,144945,eigenvalue/model reduction problem
322,2136,QY,case39,,40216,40216,1042160,power network problem sequence
323,1312,GHS_psdef,jnlbrng1,,40000,40000,199200,optimization problem
324,1314,GHS_psdef,obstclae,,40000,40000,197608,optimization problem
325,1315,GHS_psdef,torsion1,,40000,40000,197608,duplicate optimization problem
326,1371,Rajat,rajat22,,39899,39899,195429,circuit simulation problem
327,912,vanHeukelum,cage11,,39082,39082,559722,directed weighted graph
328,812,Simon,bbmat,,38744,38744,1771722,computational fluid dynamics problem
329,1240,GHS_indef,mario001,,38434,38434,204912,2D/3D problem
330,2219,TSOPF,TSOPF_RS_b2383,,38120,38120,16171169,power network problem
331,2236,TSOPF,TSOPF_RS_b2383_c1,,38120,38120,16171169,power network problem
332,2240,TSOPF,TSOPF_RS_b39_c19,,38098,38098,684206,power network problem
333,1831,Meszaros,scfxm1-2r,,37980,65943,221388,linear programming problem sequence
334,1575,Schenk_IBMNA,c-57,,37833,37833,403373,optimization problem
335,1879,Mancktelow,viscorocks,,37762,37762,1133641,materials problem
336,1221,GHS_indef,c-58,,37595,37595,552551,optimization problem
337,1316,Rajat,rajat15,,37261,37261,443573,circuit simulation problem
338,586,Hollinger,mark3jac080,,36609,36609,214643,economic problem
339,587,Hollinger,mark3jac080sc,,36609,36609,214643,economic problem
340,1289,GHS_psdef,wathen120,,36441,36441,565761,random 2D/3D problem
341,2373,Williams,pdb1HYS,,36417,36417,4344765,weighted undirected graph
342,283,ATandT,onetone1,,36057,36057,335552,frequency-domain circuit simulation problem
343,284,ATandT,onetone2,,36057,36057,222596,frequency-domain circuit simulation problem
344,938,ND,nd12k,,36000,36000,14220946,2D/3D problem
345,1574,Schenk_IBMNA,c-56,,35910,35910,380240,optimization problem
346,2244,TSOPF,TSOPF_RS_b678_c2,,35696,35696,8781949,power network problem
347,558,Hollinger,g7jac120,,35550,35550,412306,economic problem
348,559,Hollinger,g7jac120sc,,35550,35550,412306,economic problem
349,1218,GHS_indef,aug3dcqp,,35543,35543,128115,2D/3D problem
350,1826,Meszaros,sc205-2r,,35213,62423,123239,linear programming problem sequence
351,748,Mallya,lhr34,,35152,35152,746972,chemical process simulation problem
352,749,Mallya,lhr34c,,35152,35152,764014,chemical process simulation problem
353,1277,DNVS,ship_001,,34920,34920,3896496,structural problem
354,1721,Meszaros,mod2,,34774,66409,199810,linear programming problem
355,1781,Meszaros,world,,34506,67147,198883,linear programming problem
356,576,Hollinger,jan99jac100,,34454,34454,190224,economic problem
357,577,Hollinger,jan99jac100sc,,34454,34454,190224,economic problem
358,834,Zhao,Zhao1,,33861,33861,166453,electromagnetics problem
359,835,Zhao,Zhao2,,33861,33861,166453,electromagnetics problem
360,1774,Meszaros,stat96v3,,33841,1113780,3317736,linear programming problem
361,2279,Grund,poli4,,33833,33833,73249,economic problem
362,1368,PARSEC,SiO,,33401,33401,1317655,theoretical/quantum chemistry problem
363,2217,NYPA,Maragal_8,,33212,75077,1308415,least squares problem
364,1829,Meszaros,scagr7-2r,,32847,46679,120141,linear programming problem sequence
365,1220,GHS_indef,c-55,,32780,32780,403450,optimization problem
366,1869,Quaglino,viscoplastic2,,32769,32769,381326,materials problem
367,1237,GHS_indef,helm3d01,,32226,32226,428444,2D/3D problem
368,1573,Schenk_IBMNA,c-54,,31793,31793,385987,optimization problem
369,2394,Newman,cond-mat-2003,,31163,31163,240058,undirected weighted graph
370,2222,TSOPF,TSOPF_FS_b162_c3,,30798,30798,1801300,power network problem
371,1642,POLYFLOW,invextr1_new,,30412,30412,1793881,computational fluid dynamics problem
372,1288,GHS_psdef,wathen100,,30401,30401,471601,random 2D/3D problem
373,340,Boeing,bcsstk35,,30237,30237,1450163,structural problem
374,345,Boeing,bcsstm35,,30237,30237,20619,structural problem
375,1572,Schenk_IBMNA,c-53,,30235,30235,355139,optimization problem
376,1295,GHS_indef,bloweya,,30004,30004,150009,materials problem
377,1424,GHS_indef,bloweybl,,30003,30003,109999,materials problem
378,1309,GHS_indef,spmsrtls,,29995,29995,229947,statistical/mathematical problem
379,1643,POLYFLOW,mixtank_new,,29957,29957,1990919,computational fluid dynamics problem
380,2538,IPSO,OPF_6000,,29902,29902,274697,power network problem
381,1283,DNVS,thread,,29736,29736,4444880,structural problem
382,556,Hollinger,g7jac100,,29610,29610,335972,economic problem
383,557,Hollinger,g7jac100sc,,29610,29610,335972,economic problem
